,acy,sem,cos_id,cos_code,num_limit,dep_limit,URL,cos_cname,cos_credit,cos_hours,TURL,teacher,cos_time,memo,cos_ename,brief,degree,dep_id,dep_primary,dep_cname,dep_ename,cos_type,cos_type_e,crsoutline_type,reg_num,depType
1131_910224,113,1,910224,SESE20060,9999,N,,通訊系統,3.00,3.00,,蘇英俊,T234-,電機組電子班，上課地點：國防大學理工學院,Communication Systems,,1,951,1,系統工程與科技學士學位學程,Undergraduate Degree Program of System Engineering and Technology,必修,Required,data,9,T
1131_910239,113,1,910239,SESE20052,9999,N,,計算機網路,3.00,3.00,,系統工程,T123-,電機組，上課地點：國防大學理工學院，授課教師：黃炳森老師,Computer Network,,1,951,1,系統工程與科技學士學位學程,Undergraduate Degree Program of System Engineering and Technology,選修,Elective,data,3,T
1131_910250,113,1,910250,SESE10061,9999,N,,有機化學(1),3.00,3.00,,游竹淋,T12W1-,化材組化學班+材料班，上課地點：國防大學理工學院,Organic Chemistry(1),,1,951,1,系統工程與科技學士學位學程,Undergraduate Degree Program of System Engineering and Technology,必修,Required,,21,T
1131_910257,113,1,910257,SESE20290,9999,N,,儀器及分析化學實驗(2),3.00,3.00,,王志嘉,T234-,化材組化學班+材料班，上課地點：國防大學理工學院,Analytical Chemistry(II),,1,951,1,系統工程與科技學士學位學程,Undergraduate Degree Program of System Engineering and Technology,選修,Elective,,5,T
1131_910258,113,1,910258,SESE20038,9999,N,,火藥學(1),3.00,3.00,,李金樹,T167-,化材組化學班+材料班，上課地點：國防大學理工學院,Explosives(I),,1,951,1,系統工程與科技學士學位學程,Undergraduate Degree Program of System Engineering and Technology,必修,Required,,7,T
1131_910276,113,1,910276,SESE20122,9999,N,,量子化學,3.00,3.00,,系統工程,T234-,化材組，上課地點：國防大學理工學院，授課教師：劉敏憲老師,Quantum Chemistry,,1,951,1,系統工程與科技學士學位學程,Undergraduate Degree Program of System Engineering and Technology,選修,Elective,data,4,T
1131_910278,113,1,910278,SESE10026,9999,N,,工程數學(1),3.00,3.00,,系統工程,T234-,環資組，修重隨班附讀，上課地點：國防大學理工學院，授課教師：楊順欽老師,Engineering Mathematics(1),,1,951,1,系統工程與科技學士學位學程,Undergraduate Degree Program of System Engineering and Technology,必修,Required,data,28,T
1131_910289,113,1,910289,SESE20021,9999,N,,天氣學實習(1),1.00,2.00,,林永慶,T12-,環資組大氣班，上課地點：國防大學理工學院,Synoptic Meteorology Laboratory(I),,1,951,1,系統工程與科技學士學位學程,Undergraduate Degree Program of System Engineering and Technology,必修,Required,data,3,T
1131_910293,113,1,910293,SESE20256,9999,N,,地圖學,3.00,4.00,,吳憲珉,T12R34-,環資組空間班，上課地點：國防大學理工學院,Cartography,,1,951,1,系統工程與科技學士學位學程,Undergraduate Degree Program of System Engineering and Technology,必修,Required,data,3,T
1131_910299,113,1,910299,SESE00104,9999,N,,空間資訊整合及圖台開發,3.00,3.00,,系統工程,T467-,環資組空間班，上課地點：國防大學理工學院，授課教師：江怡洋老師,Integration of Geospatial Information and Development of Common Operating Pictures,,1,951,1,系統工程與科技學士學位學程,Undergraduate Degree Program of System Engineering and Technology,選修,Elective,data,3,T
1131_910300,113,1,910300,SESE00105,9999,N,,彩色複製學,3.00,3.00,,系統工程,T123-,環資組空間班，上課地點：國防大學理工學院，授課教師：李興緯老師,Color Reproduction,,1,951,1,系統工程與科技學士學位學程,Undergraduate Degree Program of System Engineering and Technology,選修,Elective,data,9,T
1131_910302,113,1,910302,SESE00108,9999,N,,物理海洋概論,3.00,3.00,,系統工程,T234-,環資組大氣班，上課地點：國防大學理工學院，授課教師：毛正氣老師,Introduction to Physical Oceanography,,1,951,1,系統工程與科技學士學位學程,Undergraduate Degree Program of System Engineering and Technology,選修,Elective,data,3,T
1131_910321,113,1,910321,SESE00039,9999,N,,服務學習 (2),.00,1.00,,黃寶錩,T1-,動力組車輛組+造船組，上課地點：國防大學理工學院,Service Learning(2),,1,951,1,系統工程與科技學士學位學程,Undergraduate Degree Program of System Engineering and Technology,必修,Required,data,8,T
1131_910322,113,1,910322,SESE10026,9999,N,,工程數學(1),3.00,3.00,,系統工程,M34T2-,動力組，上課地點：國防大學理工學院，授課教師：吳文銓老師,Engineering Mathematics(1),,1,951,1,系統工程與科技學士學位學程,Undergraduate Degree Program of System Engineering and Technology,必修,Required,data,16,T
